Date,Close,90MA,Normalize,bounded_x,cir_leakage,cir_kappa,cir_kappa_sd,cir_kappa_lb,cir_kappa_ub,cir_kappa_z,garch_kappa,garch_kappa_se,garch_kappa_lb,garch_kappa_ub,garch_kappa_z,cir_theta,cir_theta_sd,cir_theta_lb,cir_theta_ub,cir_theta_z,garch_theta,garch_theta_se,garch_theta_lb,garch_theta_ub,garch_theta_z,cir_sigma,cir_sigma_sd,cir_sigma_lb,cir_sigma_ub,cir_sigma_z,garch_sigma,garch_sigma_se,garch_sigma_lb,garch_sigma_ub,garch_sigma_z
1987-05-13,2833.5,2704.637771244445,1.0476449120564726,0.829027728939766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-14,2853.899902,2707.811102944445,1.0539508826508244,0.848479081556886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-15,2872.199951,2711.501101311111,1.0592656405749512,0.8651719812058193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-18,2875.399902,2715.0899902,1.0590440509812316,0.8644704045001239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-19,2881.5,2718.396657955556,1.0599998317269528,0.8675000335047155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-20,2887.300049,2721.509990744445,1.0609184088316372,0.8704204098906023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-21,2871.0,2724.4844346444447,1.053777354530813,0.8479387242368864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-22,2897.600098,2728.2166585000004,1.0620857727601178,0.8741440879218577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-25,2897.600098,2731.357771788889,1.060864353959105,0.8702483201437311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-26,2935.899902,2735.1922145999997,1.073379737748834,0.9109043901228084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-27,2941.600098,2739.229994011111,1.073878463813312,0.912559248569946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-28,2950.800049,2743.582215688889,1.075528202554367,0.9180529588656832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-29,2950.800049,2748.117770700001,1.073753126762239,0.912143101073097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-02,2934.100098,2753.379994011112,1.065635729315232,0.8855537544236788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
