Date,Close,60MA,Normalize,bounded_x,cir_leakage,cir_kappa,cir_kappa_sd,cir_kappa_lb,cir_kappa_ub,cir_kappa_z,garch_kappa,garch_kappa_se,garch_kappa_lb,garch_kappa_ub,garch_kappa_z,cir_theta,cir_theta_sd,cir_theta_lb,cir_theta_ub,cir_theta_z,garch_theta,garch_theta_se,garch_theta_lb,garch_theta_ub,garch_theta_z,cir_sigma,cir_sigma_sd,cir_sigma_lb,cir_sigma_ub,cir_sigma_z,garch_sigma,garch_sigma_se,garch_sigma_lb,garch_sigma_ub,garch_sigma_z
1987-03-27,2798.699951,2695.5333333333333,1.0382731745109195,0.8008012117547143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-03-30,2774.899902,2698.976664216666,1.02813037948417,0.7711242305727464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-03-31,2713.800049,2701.8716634,1.0044148601732583,0.7049899910903085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-01,2695.899902,2704.2633300666657,0.9969073174296011,0.6849338489802282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-02,2709.399902,2706.3549967333333,1.001125094553502,0.6961519424816516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-03,2680.0,2707.5699951,0.9898174395676218,0.6663558016905332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-07,2664.699951,2708.5933267999994,0.9837947707521468,0.6508409012610453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-08,2729.600098,2711.391662583333,1.0067155312410008,0.7112175540499768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-09,2785.5,2714.234997549999,1.0262560178150852,0.7657351289274139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-10,2766.399902,2717.161661766666,1.0181212038010723,0.7426769888416588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-13,2708.899902,2719.339994283333,0.996160799199335,0.682961363770645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-14,2668.399902,2721.161657683333,0.9806105765402222,0.6427344009470056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-15,2693.600098,2723.67832435,0.9889567625952383,0.6641238293366526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-16,2721.100098,2728.0216593166665,0.997462790922855,0.6864040756069185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-21,2713.399902,2732.413325983333,0.9930415271355442,0.6747613136120286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-22,2716.899902,2735.463325983333,0.9932137916794552,0.6752124186765252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-23,2719.899902,2738.5133259833333,0.9932030916896674,0.6751843929395603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-24,2707.600098,2741.9833292499993,0.9874604521175538,0.6602553038931511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-27,2636.5,2744.5183308833325,0.9606421536093124,0.5933432427893133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-28,2617.100098,2746.069999183333,0.9530347364700508,0.5751502097923931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-29,2589.5,2746.673331699999,0.9427768384809272,0.5511311740760707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-04-30,2659.899902,2747.918330883333,0.9679690521024188,0.6111839849181875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-01,2685.399902,2749.2349975499988,0.976780778795961,0.633070545839115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-04,2695.800049,2750.2216634,0.9802119170522712,0.6417240844627551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-05,2713.800049,2750.91166585,0.9865093389545344,0.6578040755045929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-06,2792.899902,2752.8999959166667,1.0145300977669602,0.7326647422420949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-07,2785.600098,2754.0983317,1.011438141455376,0.7241237492216024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-08,2805.100098,2755.9350016333333,1.0178397155003758,0.741888549320945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-11,2846.899902,2757.725,1.0323364012002647,0.7833240021424936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-12,2853.399902,2759.3699991833337,1.0340765837290742,0.7884153401857479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-13,2833.5,2760.919999183333,1.0262883389732895,0.7658278119777043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-14,2853.899902,2762.3833292500008,1.0331295703173995,0.7856414018307423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-15,2872.199951,2763.718326800001,1.0392520551562887,0.8037124922366998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-18,2875.399902,2764.9499918333336,1.0399464404393917,0.8057828081992223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-19,2881.5,2766.7116576833337,1.041489087595338,0.8103976208564336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-20,2887.300049,2767.7099934666667,1.04320902689069,0.8155680349629338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-21,2871.0,2767.576660133333,1.0373696387010591,0.7981215150947358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-22,2897.600098,2768.3999959166667,1.046669593365807,0.8260527678705935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-25,2897.600098,2768.7999959166673,1.0465183842362331,0.8255923343611914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-26,2935.899902,2770.3383259833336,1.0597622227089898,0.8667460039167062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-27,2941.600098,2771.3999959166667,1.0614130411828326,0.8719965043232413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-28,2950.800049,2772.341662583334,1.064370993238393,0.8814739107313231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-05-29,2950.800049,2772.5366617666673,1.0642961334620342,0.8812329456063877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-02,2934.100098,2773.256665033334,1.0579980335014296,0.8611652292067948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-03,2963.0,2776.0000000000005,1.0673631123919307,0.891153055386344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-04,3023.600098,2779.7500000000005,1.087723751416494,0.9596289150955004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-05,3064.300049,2783.8150024500005,1.1007556343733862,1.006053652247451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-08,3068.0,2789.4300008166674,1.0998662806027666,1.0028159746925749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-09,3108.600098,2795.2250040833337,1.1121108653002458,1.0483408042915774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-10,3097.300049,2801.0116699333344,1.1057790591332015,1.024540822532616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-11,3087.5,2807.116670750001,1.099883033780383,1.0028768675839774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-12,3129.899902,2814.7883341500014,1.1119485838515653,1.047723694796715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-16,3170.899902,2823.814998366668,1.1229134712557625,1.0903008099235565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-17,3178.600098,2831.3916666666682,1.122628188611607,1.0891697643966125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-18,3133.699951,2838.2649983666674,1.1040899820148389,1.0182864777422551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-19,3165.600098,2844.681665033334,1.1128134781868133,1.051017040743255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-22,3131.199951,2849.978332516667,1.0986750022885263,0.9984955056153476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-23,3110.399902,2854.6833292500005,1.0895779122433111,0.9661041122023291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-24,3179.0,2860.474995916667,1.1113538851197888,1.045465476561518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-25,3136.300049,2866.361661766668,1.094174573583627,0.982339988562238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-26,3138.699951,2872.0283284333336,1.0928513204158168,0.9776390419624738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-29,3152.0,2878.3133300666673,1.095085780646054,0.9855900097489432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-30,3178.199951,2886.0533284333337,1.1012270354426386,1.0077740401240995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-01,3164.0,2893.8549967333333,1.0933512576033058,0.9794125063276176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-02,3229.199951,2902.518330883333,1.112551096281017,1.0500167959450466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-03,3226.0,2911.6183308833333,1.1079748900403743,1.0327305077594362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-06,3220.699951,2920.88499755,1.1026452440618104,1.0129677402565214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-07,3236.399902,2929.33166095,1.104825358338023,1.0210046356602192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-08,3251.399902,2937.096659316667,1.1070115420567936,1.029129294323021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-09,3226.0,2944.75666095,1.0955064786097704,0.9870940934874609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-10,3207.199951,2953.0616617666665,1.0860592558982651,0.9538515771512891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-13,3216.100098,2962.1899983666663,1.0857170201011206,0.9526678282911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-14,3253.399902,2971.5199951,1.0948605115781878,0.9847855544730036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-15,3262.300049,2980.5399942833333,1.0945332239315968,0.9836179339717512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-16,3305.800049,2990.4133300666667,1.1054659286602038,1.0233783999057728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-17,3342.100098,3000.833333333333,1.1137239982227158,1.0544958798698487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-20,3386.100098,3011.936669933333,1.124226857689856,1.0955244915835034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-21,3353.800049,3022.706669116667,1.1095353986101766,1.0385917028359364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-22,3380.399902,3035.1050008166667,1.1137670364255678,1.0546606165760246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
